Date,Neighborhood,PropertyType,Bedrooms,Bathrooms,SquareFootage,Rent,Amenities
2024-01-01,Downtown,Apartment,2,2,850,2000,"Pool, Gym, Parking"
2024-01-15,Suburb,Single-Family Home,3,2,1500,2500,"Garage, Yard"
2024-02-01,Downtown,Apartment,1,1,600,1500,"Gym, Parking"
2024-02-10,Suburb,Townhouse,3,3,1200,1800,"Garage, Laundry"
2024-03-05,Midtown,Condo,2,1,950,2200,"Balcony, Parking"
2024-03-20,Uptown,Apartment,3,2,1200,3000,"Gym, Pool"
2024-04-01,Downtown,Single-Family Home,4,3,1800,3500,"Yard, Garage"
2024-04-15,Suburb,Apartment,1,1,700,1400,"Laundry, Parking"
2024-05-01,Midtown,Townhouse,2,2,1100,2100,"Garage, Balcony"
2024-05-20,Uptown,Condo,3,2,1400,3200,"Pool, Gym"
2024-06-05,Downtown,Single-Family Home,3,3,1600,3300,"Yard, Garage"
2024-06-20,Suburb,Apartment,2,1,850,1900,"Laundry, Pool"
2024-07-01,Midtown,Condo,1,1,700,1800,"Balcony, Parking"
2024-07-15,Uptown,Townhouse,4,3,1500,3400,"Garage, Yard"
2024-08-01,Downtown,Apartment,2,2,950,2200,"Gym, Pool"
2024-08-20,Suburb,Single-Family Home,3,2,1700,2900,"Garage, Yard"
2024-09-05,Midtown,Apartment,1,1,600,1600,"Parking, Laundry"
2024-09-20,Uptown,Condo,2,2,1200,2500,"Pool, Gym"
2024-10-01,Downtown,Single-Family Home,4,3,2000,3700,"Yard, Garage"
2024-10-15,Suburb,Townhouse,2,1,1000,2000,"Garage, Balcony"
2024-11-01,Downtown,Apartment,3,2,1300,2800,"Pool, Gym, Parking"
2024-11-15,Suburb,Single-Family Home,4,3,2000,4000,"Garage, Yard"
2024-12-01,Midtown,Condo,1,1,750,1900,"Balcony, Gym"
2024-12-10,Uptown,Apartment,2,2,950,2400,"Gym, Pool"
2024-12-25,Suburb,Townhouse,3,2,1400,2600,"Garage, Laundry"
2024-12-31,Downtown,Single-Family Home,5,4,2200,4500,"Yard, Garage"
2024-11-01,Suburb,Apartment,2,2,900,2100,"Laundry, Parking"
2024-11-20,Uptown,Condo,3,2,1500,3300,"Pool, Gym"
2024-12-05,Downtown,Townhouse,2,2,1100,2200,"Garage, Balcony"
2024-12-15,Midtown,Single-Family Home,3,3,1800,3700,"Yard, Garage"
2024-01-05,Downtown,Apartment,2,2,850,2000,"Pool, Gym, Parking"
2024-01-20,Suburb,Single-Family Home,3,2,1500,2500,"Garage, Yard"
2024-02-05,Downtown,Apartment,1,1,600,1500,"Gym, Parking"
2024-02-15,Suburb,Townhouse,3,3,1200,1800,"Garage, Laundry"
2024-03-10,Midtown,Condo,2,1,950,2200,"Balcony, Parking"
2024-03-25,Uptown,Apartment,3,2,1200,3000,"Gym, Pool"
2024-04-05,Downtown,Single-Family Home,4,3,1800,3500,"Yard, Garage"
2024-04-20,Suburb,Apartment,1,1,700,1400,"Laundry, Parking"
2024-05-05,Midtown,Townhouse,2,2,1100,2100,"Garage, Balcony"
2024-05-25,Uptown,Condo,3,2,1400,3200,"Pool, Gym"
2024-06-10,Downtown,Single-Family Home,3,3,1600,3300,"Yard, Garage"
2024-06-25,Suburb,Apartment,2,1,850,1900,"Laundry, Pool"
2024-07-05,Midtown,Condo,1,1,700,1800,"Balcony, Parking"
2024-07-20,Uptown,Townhouse,4,3,1500,3400,"Garage, Yard"
2024-08-05,Downtown,Apartment,2,2,950,2200,"Gym, Pool"
2024-08-25,Suburb,Single-Family Home,3,2,1700,2900,"Garage, Yard"
2024-09-10,Midtown,Apartment,1,1,600,1600,"Parking, Laundry"
2024-09-25,Uptown,Condo,2,2,1200,2500,"Pool, Gym"
2024-10-05,Downtown,Single-Family Home,4,3,2000,3700,"Yard, Garage"
2024-10-20,Suburb,Townhouse,2,1,1000,2000,"Garage, Balcony"
2024-11-05,Downtown,Apartment,3,2,1300,2800,"Pool, Gym, Parking"
2024-11-25,Suburb,Single-Family Home,4,3,2000,4000,"Garage, Yard"
2024-12-05,Midtown,Condo,1,1,750,1900,"Balcony, Gym"
2024-12-20,Uptown,Apartment,2,2,950,2400,"Gym, Pool"
2024-01-10,Downtown,Townhouse,3,3,1400,2600,"Garage, Laundry"
2024-01-25,Suburb,Single-Family Home,5,4,2200,4500,"Yard, Garage"
2024-02-10,Midtown,Apartment,2,2,900,2100,"Laundry, Parking"
2024-02-25,Uptown,Condo,3,2,1500,3300,"Pool, Gym"
2024-03-01,Downtown,Townhouse,2,2,1100,2200,"Garage, Balcony"
2024-03-15,Suburb,Single-Family Home,3,3,1800,3700,"Yard, Garage"
2024-03-30,Downtown,Apartment,2,2,850,2000,"Pool, Gym, Parking"
2024-04-10,Suburb,Single-Family Home,3,2,1500,2500,"Garage, Yard"
2024-04-25,Downtown,Apartment,1,1,600,1500,"Gym, Parking"
2024-05-10,Suburb,Townhouse,3,3,1200,1800,"Garage, Laundry"
2024-05-25,Midtown,Condo,2,1,950,2200,"Balcony, Parking"
2024-06-01,Uptown,Apartment,3,2,1200,3000,"Gym, Pool"
2024-06-15,Downtown,Single-Family Home,4,3,1800,3500,"Yard, Garage"
2024-06-30,Suburb,Apartment,1,1,700,1400,"Laundry, Parking"
2024-07-10,Midtown,Townhouse,2,2,1100,2100,"Garage, Balcony"
2024-07-25,Uptown,Condo,3,2,1400,3200,"Pool, Gym"
2024-08-10,Downtown,Single-Family Home,3,3,1600,3300,"Yard, Garage"
2024-08-25,Suburb,Apartment,2,1,850,1900,"Laundry, Pool"
2024-09-10,Midtown,Condo,1,1,700,1800,"Balcony, Parking"
2024-09-25,Uptown,Townhouse,4,3,1500,3400,"Garage, Yard"
2024-10-10,Downtown,Apartment,2,2,950,2200,"Gym, Pool"
2024-10-25,Suburb,Single-Family Home,3,2,1700,2900,"Garage, Yard"
2024-11-10,Midtown,Apartment,1,1,600,1600,"Parking, Laundry"
2024-11-25,Uptown,Condo,2,2,1200,2500,"Pool, Gym"
2024-12-10,Downtown,Single-Family Home,4,3,2000,3700,"Yard, Garage"
2024-12-25,Suburb,Townhouse,2,1,1000,2000,"Garage, Balcony"
